,MEASUREMENT_TIME,VALUE
187,2021-06-25 21:03:21.127,POWERPNT.EXE
188,2021-06-25 21:03:30.129,POWERPNT.EXE
189,2021-06-25 21:03:32.628,POWERPNT.EXE
190,2021-06-25 21:03:35.129,POWERPNT.EXE
191,2021-06-25 21:03:36.128,FoxitReader.exe
192,2021-06-25 21:03:38.128,OUTLOOK.EXE
193,2021-06-25 21:03:39.629,OUTLOOK.EXE
194,2021-06-25 21:03:42.638,chrome.exe
195,2021-06-25 21:03:54.128,OUTLOOK.EXE
196,2021-06-25 21:03:55.128,chrome.exe
197,2021-06-25 21:04:06.127,Zoom.exe
198,2021-06-25 21:04:06.627,chrome.exe
199,2021-06-25 21:04:08.628,Zoom.exe
200,2021-06-25 21:04:09.628,Zoom.exe
201,2021-06-25 21:04:11.127,Zoom.exe
202,2021-06-25 21:04:13.128,Zoom.exe
203,2021-06-25 21:04:18.127,Zoom.exe
204,2021-06-25 21:04:21.128,Zoom.exe
205,2021-06-25 21:04:21.627,Zoom.exe
206,2021-06-25 21:04:37.628,Zoom.exe
207,2021-06-25 21:04:41.128,Zoom.exe
208,2021-06-25 21:05:06.127,OUTLOOK.EXE
209,2021-06-25 21:05:06.628,Zoom.exe
210,2021-06-25 21:05:07.627,OUTLOOK.EXE
211,2021-06-25 21:05:10.128,Zoom.exe
212,2021-06-25 21:05:15.627,OUTLOOK.EXE
213,2021-06-25 21:05:18.628,Zoom.exe
214,2021-06-25 21:06:37.628,Zoom.exe
215,2021-06-25 21:06:43.627,Zoom.exe
216,2021-06-25 21:08:34.628,Zoom.exe
217,2021-06-25 21:08:37.627,Zoom.exe
218,2021-06-25 21:08:42.627,Zoom.exe
219,2021-06-25 21:08:43.127,Zoom.exe
220,2021-06-25 21:08:44.127,Zoom.exe
221,2021-06-25 21:09:09.628,explorer.exe
222,2021-06-25 21:09:11.127,OUTLOOK.EXE
223,2021-06-25 21:09:29.627,chrome.exe
224,2021-06-25 21:09:32.627,OUTLOOK.EXE
225,2021-06-25 21:11:06.627,Zoom.exe
226,2021-06-25 21:11:07.128,OUTLOOK.EXE
227,2021-06-25 21:11:10.626,Zoom.exe
228,2021-06-25 21:11:39.128,Zoom.exe
229,2021-06-25 21:11:44.126,Zoom.exe
230,2021-06-25 21:12:29.628,Zoom.exe
231,2021-06-25 21:12:33.627,Zoom.exe
232,2021-06-25 21:13:30.627,Zoom.exe
233,2021-06-25 21:13:45.126,chrome.exe
234,2021-06-25 21:13:50.126,chrome.exe
235,2021-06-25 21:14:56.127,Zoom.exe
236,2021-06-25 21:15:03.626,Zoom.exe
237,2021-06-25 21:15:04.126,Zoom.exe
238,2021-06-25 21:15:05.627,Zoom.exe
239,2021-06-25 21:15:06.128,Zoom.exe
240,2021-06-25 21:15:06.627,Zoom.exe
241,2021-06-25 21:15:07.126,Zoom.exe
242,2021-06-25 21:15:07.627,Zoom.exe
243,2021-06-25 21:15:54.127,chrome.exe
244,2021-06-25 21:16:27.626,Zoom.exe
245,2021-06-25 21:16:30.127,Zoom.exe
246,2021-06-25 21:16:36.127,Zoom.exe
247,2021-06-25 21:17:44.126,Zoom.exe
248,2021-06-25 21:17:47.128,Zoom.exe
249,2021-06-25 21:17:48.127,Zoom.exe
250,2021-06-25 21:17:48.626,chrome.exe
251,2021-06-25 21:17:54.629,Zoom.exe
252,2021-06-25 21:20:45.127,chrome.exe
253,2021-06-25 21:20:45.627,chrome.exe
254,2021-06-25 21:20:46.126,chrome.exe
255,2021-06-25 21:20:53.126,chrome.exe
256,2021-06-25 21:20:54.627,chrome.exe
257,2021-06-25 21:21:00.626,Zoom.exe
258,2021-06-25 21:21:08.127,chrome.exe
259,2021-06-25 21:21:50.627,Zoom.exe
260,2021-06-25 21:22:20.128,Zoom.exe
261,2021-06-25 21:22:21.128,Zoom.exe
262,2021-06-25 21:22:34.627,Zoom.exe
263,2021-06-25 21:23:11.126,Zoom.exe
264,2021-06-25 21:23:11.626,Zoom.exe
265,2021-06-25 21:23:12.128,Zoom.exe
266,2021-06-25 21:23:12.628,Zoom.exe
267,2021-06-25 21:23:14.626,Zoom.exe
268,2021-06-25 21:25:08.128,Zoom.exe
269,2021-06-25 21:25:11.627,Zoom.exe
270,2021-06-25 21:25:29.128,Zoom.exe
271,2021-06-25 21:25:32.126,Zoom.exe
272,2021-06-25 21:25:43.626,Zoom.exe
273,2021-06-25 21:26:45.126,Zoom.exe
274,2021-06-25 21:27:02.126,Zoom.exe
275,2021-06-25 21:27:09.127,Zoom.exe
276,2021-06-25 21:27:09.627,chrome.exe
277,2021-06-25 21:27:13.126,Zoom.exe
278,2021-06-25 21:27:21.126,Zoom.exe
279,2021-06-25 21:27:22.126,Zoom.exe
280,2021-06-25 21:27:28.627,Zoom.exe
281,2021-06-25 21:27:31.626,Zoom.exe
282,2021-06-25 21:28:01.126,Zoom.exe
283,2021-06-25 21:28:25.126,Zoom.exe
284,2021-06-25 21:29:17.127,chrome.exe
285,2021-06-25 21:29:22.126,chrome.exe
286,2021-06-25 21:29:39.126,chrome.exe
287,2021-06-25 21:29:39.626,chrome.exe
288,2021-06-25 21:29:40.127,chrome.exe
289,2021-06-25 21:29:53.626,Zoom.exe
290,2021-06-25 21:29:59.126,chrome.exe
291,2021-06-25 21:30:19.626,Zoom.exe
292,2021-06-25 21:30:26.626,chrome.exe
293,2021-06-25 21:30:48.126,Zoom.exe
294,2021-06-25 21:30:50.626,chrome.exe
295,2021-06-25 21:30:55.627,Zoom.exe
296,2021-06-25 21:31:08.126,Zoom.exe
297,2021-06-25 21:31:18.126,chrome.exe
298,2021-06-25 21:31:21.626,Zoom.exe
299,2021-06-25 21:31:34.626,Zoom.exe
300,2021-06-25 21:31:52.125,Zoom.exe
301,2021-06-25 21:32:10.626,chrome.exe
302,2021-06-25 21:32:29.630,Zoom.exe
303,2021-06-25 21:32:32.126,OUTLOOK.EXE
304,2021-06-25 21:32:32.626,OUTLOOK.EXE
305,2021-06-25 21:32:33.127,OUTLOOK.EXE
306,2021-06-25 21:32:39.126,OUTLOOK.EXE
307,2021-06-25 21:32:39.626,OUTLOOK.EXE
308,2021-06-25 21:32:43.126,Zoom.exe
309,2021-06-25 21:32:43.625,OUTLOOK.EXE
310,2021-06-25 21:32:47.126,Zoom.exe
311,2021-06-25 21:32:49.625,chrome.exe
312,2021-06-25 21:32:59.627,Zoom.exe
313,2021-06-25 21:33:02.126,chrome.exe
314,2021-06-25 21:33:29.126,Zoom.exe
315,2021-06-25 21:33:31.626,chrome.exe
316,2021-06-25 21:33:50.626,OUTLOOK.EXE
317,2021-06-25 21:33:51.128,OUTLOOK.EXE
318,2021-06-25 21:33:58.627,OUTLOOK.EXE
319,2021-06-25 21:34:00.127,OUTLOOK.EXE
320,2021-06-25 21:34:07.126,chrome.exe
321,2021-06-25 21:35:11.126,Zoom.exe
322,2021-06-25 21:36:09.126,chrome.exe
323,2021-06-25 21:36:25.126,OUTLOOK.EXE
324,2021-06-25 21:36:42.627,Zoom.exe
325,2021-06-25 21:40:08.626,chrome.exe
326,2021-06-25 21:40:38.127,Zoom.exe
327,2021-06-25 21:41:08.626,Zoom.exe
328,2021-06-25 21:41:13.625,Zoom.exe
329,2021-06-25 21:41:14.127,Zoom.exe
330,2021-06-25 21:41:16.127,chrome.exe
331,2021-06-25 21:41:17.125,explorer.exe
332,2021-06-25 21:41:18.126,OUTLOOK.EXE
333,2021-06-25 21:41:19.626,Zoom.exe
334,2021-06-25 21:41:22.626,OUTLOOK.EXE
335,2021-06-25 21:41:52.625,Zoom.exe
336,2021-06-25 21:41:53.625,Zoom.exe
337,2021-06-25 21:41:59.625,Zoom.exe
338,2021-06-25 21:42:05.625,chrome.exe
339,2021-06-25 21:43:18.626,Zoom.exe
340,2021-06-25 21:43:25.626,chrome.exe
341,2021-06-25 21:43:32.626,Zoom.exe
342,2021-06-25 21:43:39.625,Zoom.exe
343,2021-06-25 21:43:42.127,Zoom.exe
344,2021-06-25 21:43:42.625,chrome.exe
345,2021-06-25 21:43:45.626,Zoom.exe
346,2021-06-25 21:43:47.125,chrome.exe
347,2021-06-25 21:47:02.627,Zoom.exe
348,2021-06-25 21:50:27.127,chrome.exe
349,2021-06-25 21:50:51.127,Zoom.exe
350,2021-06-25 21:51:37.129,Zoom.exe
351,2021-06-25 21:51:42.127,Zoom.exe
352,2021-06-25 21:51:50.127,Zoom.exe
353,2021-06-25 21:51:51.127,Zoom.exe
354,2021-06-25 21:51:52.126,chrome.exe
355,2021-06-25 21:52:03.626,Zoom.exe
356,2021-06-25 21:52:55.127,chrome.exe
357,2021-06-25 21:54:23.627,Zoom.exe
358,2021-06-25 21:54:25.628,Zoom.exe
359,2021-06-25 21:54:27.126,chrome.exe
360,2021-06-25 21:54:31.127,Zoom.exe
361,2021-06-25 21:54:32.127,chrome.exe
362,2021-06-25 21:55:43.127,Zoom.exe
363,2021-06-25 21:56:07.627,chrome.exe
364,2021-06-25 21:57:15.128,Zoom.exe
365,2021-06-25 21:58:30.627,Zoom.exe
366,2021-06-25 21:58:32.127,Zoom.exe
367,2021-06-25 21:58:35.127,FoxitReader.exe
368,2021-06-25 21:58:36.626,Zoom.exe
369,2021-06-25 21:58:42.127,chrome.exe
370,2021-06-25 21:58:45.126,OUTLOOK.EXE
371,2021-06-25 21:58:50.127,chrome.exe
372,2021-06-25 21:58:53.127,OUTLOOK.EXE
373,2021-06-25 21:58:54.627,OUTLOOK.EXE
374,2021-06-25 21:58:55.127,OUTLOOK.EXE
375,2021-06-25 21:58:57.626,OUTLOOK.EXE
376,2021-06-25 21:58:58.126,OUTLOOK.EXE
377,2021-06-25 21:59:01.128,explorer.exe
378,2021-06-25 21:59:03.627,OUTLOOK.EXE
379,2021-06-25 21:59:04.627,explorer.exe
380,2021-06-25 21:59:05.628,OUTLOOK.EXE
381,2021-06-25 21:59:06.128,explorer.exe
382,2021-06-25 21:59:07.628,OUTLOOK.EXE
383,2021-06-25 21:59:09.127,explorer.exe
384,2021-06-25 21:59:11.627,OUTLOOK.EXE
385,2021-06-25 21:59:14.127,OUTLOOK.EXE
386,2021-06-25 21:59:14.627,OUTLOOK.EXE
387,2021-06-25 21:59:34.628,chrome.exe
388,2021-06-25 21:59:59.629,chrome.exe
389,2021-06-25 22:00:58.627,Zoom.exe
390,2021-06-25 22:00:59.628,Zoom.exe
391,2021-06-25 22:01:00.127,Zoom.exe
392,2021-06-25 22:01:01.128,Zoom.exe
393,2021-06-25 22:01:02.129,Zoom.exe
394,2021-06-25 22:01:06.630,chrome.exe
395,2021-06-25 22:03:00.127,Zoom.exe
396,2021-06-25 22:03:21.128,chrome.exe
397,2021-06-25 22:05:31.627,Zoom.exe
398,2021-06-25 22:05:33.627,Zoom.exe
399,2021-06-25 22:05:36.128,chrome.exe
400,2021-06-25 22:05:39.627,Zoom.exe
401,2021-06-25 22:05:43.128,chrome.exe
402,2021-06-25 22:06:19.628,Zoom.exe
403,2021-06-25 22:07:37.627,OUTLOOK.EXE
404,2021-06-25 22:07:40.627,OUTLOOK.EXE
405,2021-06-25 22:07:41.127,OUTLOOK.EXE
406,2021-06-25 22:07:47.628,Zoom.exe
407,2021-06-25 22:07:52.628,chrome.exe
408,2021-06-25 22:08:26.627,chrome.exe
409,2021-06-25 22:08:42.128,chrome.exe
410,2021-06-25 22:13:03.627,Zoom.exe
411,2021-06-25 22:13:04.128,chrome.exe
412,2021-06-25 22:13:07.627,Zoom.exe
413,2021-06-25 22:13:09.628,chrome.exe
414,2021-06-25 22:15:19.127,Zoom.exe
415,2021-06-25 22:15:20.127,chrome.exe
416,2021-06-25 22:16:04.127,Zoom.exe
417,2021-06-25 22:16:11.628,chrome.exe
418,2021-06-25 22:17:56.126,Zoom.exe
419,2021-06-25 22:17:57.127,Zoom.exe
420,2021-06-25 22:18:03.127,Zoom.exe
421,2021-06-25 22:18:10.627,Zoom.exe
422,2021-06-25 22:18:15.127,chrome.exe
423,2021-06-25 22:18:18.628,Zoom.exe
424,2021-06-25 22:18:25.628,chrome.exe
425,2021-06-25 22:20:49.126,Zoom.exe
426,2021-06-25 22:20:59.128,chrome.exe
427,2021-06-25 22:24:26.632,Teams.exe
428,2021-06-25 22:24:28.626,explorer.exe
429,2021-06-25 22:24:38.126,chrome.exe
430,2021-06-25 22:25:16.626,Zoom.exe
431,2021-06-25 22:25:17.626,Zoom.exe
432,2021-06-25 22:25:23.626,Zoom.exe
433,2021-06-25 22:26:14.126,Zoom.exe
434,2021-06-25 22:26:43.627,chrome.exe
435,2021-06-25 22:26:47.626,Zoom.exe
436,2021-06-25 22:28:08.126,chrome.exe
437,2021-06-25 22:28:51.626,workpace.exe
438,2021-06-25 22:28:52.126,POWERPNT.EXE
439,2021-06-25 22:29:08.126,chrome.exe
440,2021-06-25 22:29:21.628,Zoom.exe
441,2021-06-25 22:29:22.126,chrome.exe
442,2021-06-25 22:29:29.126,Zoom.exe
443,2021-06-25 22:32:12.626,chrome.exe
444,2021-06-25 22:33:41.126,Zoom.exe
445,2021-06-25 22:33:41.626,Zoom.exe
446,2021-06-25 22:33:52.126,chrome.exe
447,2021-06-25 22:36:46.124,Zoom.exe
448,2021-06-25 22:37:08.124,Zoom.exe
449,2021-06-25 22:37:37.623,Zoom.exe
450,2021-06-25 22:37:38.124,chrome.exe
451,2021-06-25 22:37:41.623,Zoom.exe
452,2021-06-25 22:41:12.621,Zoom.exe
453,2021-06-25 22:45:41.121,Zoom.exe
454,2021-06-25 22:45:47.120,Zoom.exe
455,2021-06-25 22:46:52.121,chrome.exe
456,2021-06-25 22:47:29.122,Zoom.exe
457,2021-06-25 22:55:50.122,Zoom.exe
458,2021-06-25 22:56:04.122,Zoom.exe
459,2021-06-25 22:56:11.121,chrome.exe
460,2021-06-25 22:56:59.122,Zoom.exe
462,2021-06-25 22:57:06.122,explorer.exe
463,2021-06-25 22:57:07.122,chrome.exe
464,2021-06-25 22:57:46.122,Zoom.exe
465,2021-06-25 22:57:54.121,chrome.exe
466,2021-06-25 22:58:49.121,Zoom.exe
467,2021-06-25 22:58:54.122,chrome.exe
468,2021-06-25 22:59:07.124,Zoom.exe
469,2021-06-25 22:59:21.622,Zoom.exe
470,2021-06-25 22:59:24.123,Zoom.exe
471,2021-06-25 22:59:32.621,chrome.exe
472,2021-06-25 23:01:07.621,Zoom.exe
473,2021-06-25 23:01:21.121,Zoom.exe
474,2021-06-25 23:01:28.122,Zoom.exe
475,2021-06-25 23:04:10.621,Zoom.exe
476,2021-06-25 23:04:15.121,Zoom.exe
477,2021-06-25 23:04:37.121,chrome.exe
478,2021-06-25 23:05:38.622,Zoom.exe
479,2021-06-25 23:06:03.622,chrome.exe
480,2021-06-25 23:07:48.621,chrome.exe
481,2021-06-25 23:08:29.621,Zoom.exe
482,2021-06-25 23:09:32.122,chrome.exe
483,2021-06-25 23:09:43.121,Zoom.exe
484,2021-06-25 23:10:05.621,Zoom.exe
485,2021-06-25 23:10:14.122,chrome.exe
486,2021-06-25 23:10:42.121,Zoom.exe
487,2021-06-25 23:10:49.121,Zoom.exe
488,2021-06-25 23:10:50.621,Zoom.exe
489,2021-06-25 23:10:53.121,chrome.exe
490,2021-06-25 23:10:54.621,OUTLOOK.EXE
491,2021-06-25 23:20:38.121,chrome.exe
492,2021-06-25 23:20:40.621,chrome.exe
493,2021-06-25 23:20:44.624,explorer.exe
494,2021-06-25 23:20:47.122,SearchUI.exe
495,2021-06-25 23:20:48.121,StartMenuExperienceHost.exe
497,2021-06-28 14:36:55.718,LockApp.exe
499,2021-06-28 14:37:06.217,SearchUI.exe
500,2021-06-28 14:37:08.718,vpnui.exe
501,2021-06-28 14:37:13.217,vpnui.exe
503,2021-06-28 14:37:21.717,cmd.exe
504,2021-06-28 14:37:56.589,cmd.exe
505,2021-06-28 14:37:59.589,vpnui.exe
506,2021-06-28 14:38:06.590,vpnui.exe
507,2021-06-28 14:38:07.589,vpndownloader.exe
508,2021-06-28 14:38:08.589,vpnui.exe
509,2021-06-28 14:38:19.590,explorer.exe
510,2021-06-28 14:38:20.590,OUTLOOK.EXE
511,2021-06-28 14:38:30.089,OUTLOOK.EXE
512,2021-06-28 14:38:33.089,OUTLOOK.EXE
513,2021-06-28 14:38:34.090,OUTLOOK.EXE
514,2021-06-28 14:38:37.591,Teams.exe
515,2021-06-28 14:38:38.091,Teams.exe
516,2021-06-28 14:38:39.589,Teams.exe
517,2021-06-28 14:38:54.090,Teams.exe
518,2021-06-28 14:41:14.089,Teams.exe
519,2021-06-28 14:41:31.089,Teams.exe
520,2021-06-28 14:41:33.091,explorer.exe
521,2021-06-28 14:41:34.589,OUTLOOK.EXE
522,2021-06-28 14:41:37.089,OUTLOOK.EXE
523,2021-06-28 14:42:10.090,explorer.exe
524,2021-06-28 14:42:14.089,explorer.exe
525,2021-06-28 14:42:15.089,OUTLOOK.EXE
526,2021-06-28 14:42:17.090,OUTLOOK.EXE
527,2021-06-28 14:42:53.590,explorer.exe
528,2021-06-28 14:42:54.589,OUTLOOK.EXE
529,2021-06-28 14:42:57.089,OUTLOOK.EXE
530,2021-06-28 14:43:31.038,OUTLOOK.EXE
531,2021-06-28 14:43:42.005,OUTLOOK.EXE
532,2021-06-28 14:44:32.354,OUTLOOK.EXE
533,2021-06-28 14:44:33.349,OUTLOOK.EXE
534,2021-06-28 14:44:38.834,OUTLOOK.EXE
535,2021-06-28 14:44:54.287,Teams.exe
536,2021-06-28 14:46:47.945,chrome.exe
537,2021-06-28 14:46:54.923,Teams.exe
538,2021-06-28 14:51:40.688,OUTLOOK.EXE
539,2021-06-28 14:51:56.689,explorer.exe
541,2021-06-28 14:51:59.689,explorer.exe
542,2021-06-28 14:52:00.688,OUTLOOK.EXE
543,2021-06-28 14:53:25.688,Teams.exe
544,2021-06-28 14:54:06.188,OUTLOOK.EXE
545,2021-06-28 14:54:10.187,OUTLOOK.EXE
546,2021-06-28 14:56:26.186,Teams.exe
547,2021-06-28 14:56:29.185,explorer.exe
548,2021-06-28 14:56:33.186,OUTLOOK.EXE
549,2021-06-28 14:56:35.185,OUTLOOK.EXE
550,2021-06-28 14:56:59.186,OUTLOOK.EXE
551,2021-06-28 14:56:59.685,OUTLOOK.EXE
552,2021-06-28 14:57:00.188,OUTLOOK.EXE
553,2021-06-28 14:57:00.684,OUTLOOK.EXE
554,2021-06-28 14:57:01.185,OUTLOOK.EXE
